Kategorie,Plattform-Link
Books2Read,https://www.books2read.com/Dirk-Werner-Author
Linktree,https://www.linktr.ee/Dirk_Werner
Praxis-Webseite,https://www.dirk-werner-psychotherapie.de
Xing,https://www.xing.com/profile/Dirk_Werner12
LinkedIn (de),https://de.linkedin.com/in/dirk-werner-657a81a8
LinkedIn (www),https://www.linkedin.com/in/dirk-werner-657a81a8
TikTok,https://www.tiktok.com/@innergrowthguide5?is_from_webapp=1&sender_device=pc
Instagram,https://instagram.com/dirk.werner.d.w.2070?igshid=MzNlNGNkZWQ4Mg==
YouTube (Lux),https://www.youtube.com/@LuxMesopotamiae-kw6rw
YouTube (Dirk),https://www.youtube.com/@dirkwerner777
X (Lux),https://twitter.com/LuxMesopotamiae?s=09
X (Dirk),https://x.com/dirk_werner1?t=hy1OJHS9pjFHVFCFMNC7bA&s=09
